od_pair,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Bukit Ketri → Bukit Mertajam,29.0,14.0,21.0,35.0,115.0,647.0,615.0,851.0,417.0,260.0,517.0,124.0,547.0,125.0,666.0,344.0,504.0,406.0,609.0,425.0,329.0,734.0,9.0,118.0
Bukit Ketri → Bukit Tengah,14.0,18.0,6.0,6.0,135.0,1890.0,1222.0,1783.0,550.0,181.0,723.0,140.0,663.0,140.0,751.0,441.0,723.0,669.0,1073.0,761.0,327.0,1442.0,1.0,313.0
Bukit Ketri → Butterworth,50.0,25.0,11.0,6.0,83.0,845.0,803.0,1413.0,1117.0,413.0,984.0,253.0,847.0,259.0,950.0,629.0,658.0,705.0,599.0,543.0,196.0,578.0,8.0,102.0
Bukit Ketri → Gurun,6.0,8.0,2.0,2.0,21.0,196.0,501.0,227.0,187.0,71.0,187.0,106.0,212.0,100.0,288.0,187.0,306.0,274.0,242.0,160.0,74.0,143.0,20.0,1.0
Bukit Ketri → Ipoh,12.0,12.0,5.0,1.0,10.0,58.0,81.0,146.0,68.0,85.0,149.0,89.0,138.0,61.0,223.0,104.0,170.0,91.0,35.0,8.0,13.0,43.0,1.0,4.0
Bukit Ketri → Kamunting,0.0,2.0,0.0,0.0,0.0,13.0,18.0,28.0,11.0,15.0,49.0,16.0,50.0,15.0,70.0,50.0,32.0,75.0,6.0,13.0,8.0,0.0,0.0,0.0
Bukit Ketri → Kobah,5.0,4.0,0.0,0.0,3.0,27.0,171.0,223.0,140.0,115.0,156.0,99.0,167.0,87.0,219.0,201.0,196.0,338.0,198.0,117.0,49.0,129.0,43.0,1.0
Bukit Ketri → Kodiang,0.0,2.0,0.0,0.0,0.0,3.0,21.0,26.0,17.0,3.0,32.0,6.0,19.0,45.0,54.0,85.0,31.0,19.0,24.0,36.0,4.0,12.0,5.0,0.0
Bukit Ketri → Kuala Kangsar,4.0,0.0,1.0,1.0,3.0,9.0,22.0,34.0,12.0,11.0,42.0,12.0,24.0,22.0,43.0,33.0,51.0,68.0,4.0,3.0,2.0,0.0,1.0,0.0
Bukit Ketri → Nibong Tebal,0.0,0.0,1.0,0.0,0.0,17.0,15.0,62.0,12.0,24.0,53.0,17.0,71.0,14.0,61.0,18.0,84.0,55.0,12.0,8.0,5.0,7.0,0.0,0.0
Bukit Ketri → Padang Besar,3.0,10.0,10.0,1.0,5.0,27.0,115.0,122.0,275.0,195.0,73.0,119.0,144.0,117.0,133.0,141.0,129.0,56.0,60.0,32.0,24.0,10.0,2.0,1.0
Bukit Ketri → Padang Rengas,0.0,0.0,0.0,0.0,0.0,6.0,11.0,4.0,1.0,5.0,9.0,7.0,9.0,10.0,12.0,5.0,7.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0
Bukit Ketri → Parit Buntar,0.0,0.0,6.0,0.0,20.0,17.0,30.0,51.0,10.0,33.0,49.0,18.0,51.0,20.0,85.0,26.0,71.0,50.0,10.0,28.0,10.0,1.0,4.0,1.0
Bukit Ketri → Penalty,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bukit Ketri → Simpang Ampat,3.0,1.0,1.0,1.0,2.0,25.0,31.0,255.0,22.0,28.0,129.0,26.0,99.0,26.0,159.0,45.0,105.0,114.0,19.0,27.0,1.0,2.0,2.0,0.0
